0.95,0.97,0.93,0.96,0.91,0.94,0.95,0.92,0.96,0.95
0.96,0.99,0.94,0.97,0.95,0.93,0.96,0.91,0.95,0.96
0.97,0.89,0.92,0.94,1.00,0.90,0.88,0.95,0.93,0.94
0.96,0.91,0.90,0.93,0.95,0.92,0.94,0.93,0.92,0.92
0.94,0.98,0.92,0.95,0.96,0.93,0.90,0.91,0.94,0.93
0.62,0.55,0.58,0.61,0.57,0.59,0.56,0.49,0.60,0.58
0.59,0.63,0.51,0.52,0.56,0.87,0.54,0.50,0.61,0.53
0.54,0.60,0.50,0.48,0.55,0.57,0.52,0.49,0.58,0.55
0.53,0.57,0.54,0.56,0.55,0.52,0.51,0.47,0.49,0.54
0.50,0.46,0.58,0.57,0.49,0.62,0.60,0.52,0.56,0.48
